rooms,age,bath,neighborhood,aparment_floor,view,bedrooms,expenses,floor,nbr_floors,covered area,total_area,type,address,price
1.0,,1.0,Saavedra - Capital Federal,,Contrafrente,,2800.0,,5.0,38.0,38.0,Departamento,Quintana 4600,10500
1.0,,1.0,San Telmo - Capital Federal,,Frente,,2500.0,,14.0,32.0,36.0,Departamento,Tacuari 1100,12500
1.0,20 años,1.0,Barrio Norte - Capital Federal,4.0,Frente,,,,8.0,26.0,296.0,,Laprida 1294,10000
1.0,0 años,1.0,Palermo Chico - Capital Federal,,,,7000.0,,,34.0,,,Salguero Al 2600,18000
1.0,40 años,1.0,Caballito - Capital Federal,3.0,Lateral,,1800.0,,8.0,26.0,26.0,Departamento,Pringles Al 700,8900
1.0,0 años,1.0,Monte Castro - Capital Federal,3.0,Contrafrente,,1200.0,,5.0,32.0,38.0,Departamento,Jose Verdi Al 1700,11000
1.0,,1.0,San Telmo - Capital Federal,,Frente,,2500.0,,14.0,32.0,36.0,Departamento,San Juan 800,12500
1.0,,1.0,Villa Crespo - Capital Federal,,Frente,,6000.0,,,50.0,50.0,Departamento,Av. Corrientes 5500,12000
2.0,6 años,1.0,Caballito - Capital Federal,,Contrafrente,,2500.0,,1.0,30.0,32.0,,Mendes De Andes Al 400,16000
2.0,6 años,1.0,Caballito - Capital Federal,,Contrafrente,,2500.0,,1.0,30.0,32.0,,Mendes De Andes Al 400,16000
1.0,45 años,1.0,Congreso - Capital Federal,4.0,Interno,,,3.0,9.0,23.0,23.0,,Pasco  400,8500
1.0,0 años,1.0,Villa Ortúzar - Capital Federal,,,,,,,37.0,41.0,Departamento,Triunvirato Al 2900,9500
1.0,10 años,1.0,Almagro - Capital Federal,3.0,Contrafrente,,,,10.0,40.0,80.0,Departamento,Billinghurst Al 900,17500
1.0,30 años,1.0,Núñez - Capital Federal,3.0,,,,,3.0,36.0,36.0,Departamento,Quinteros  Al 1400,15200
1.0,,1.0,Palermo Hollywood - Capital Federal,,,,3000.0,,,23.0,23.0,,El Salvador 5400,9500
1.0,,1.0,Flores - Capital Federal,,,,,,,27.0,29.0,,Yerbal 2147,11000
1.0,30 años,,Caballito - Capital Federal,,Interno,,1800.0,,,,19.0,,"Alberdi, Juan B., Av. Entre Doblas Y Viel",9000
1.0,,1.0,Villa Crespo - Capital Federal,,Contrafrente,,3600.0,,10.0,30.0,35.0,Departamento,Serrano 500,10500
2.0,4 años,1.0,Caballito - Capital Federal,,Frente,,5300.0,,9.0,45.0,50.0,,"Directorio, Avda. Entre Curapaligue, Avda. Y Pumacahua",12000
1.0,9 años,1.0,Barrio Norte - Capital Federal,,Frente,,,,8.0,32.0,32.0,,Paraguay Al 2900,16000
,5 años,,Puerto Madero - Capital Federal,,Frente,,8900.0,,,,47.0,,Lumiere - Olga Cosettini Al 1500,36000
,80 años,3.0,San Nicolás - Capital Federal,,Frente,,9000.0,,1.0,142.0,,,Peatonal M.t. De Alvear Al 900,30000
1.0,0 años,1.0,Palermo - Capital Federal,,Contrafrente,,4500.0,,1.0,38.0,45.0,,Malabia Al 1900,16500
1.0,,1.0,Liniers - Capital Federal,,Frente,,2800.0,,10.0,37.0,43.0,Semi piso,Ramon Falcon 6200,9000
1.0,5 años,1.0,Palermo - Capital Federal,,Frente,,1700.0,,,,38.0,,Bulnes Al 1200,15000
1.0,45 años,1.0,Balvanera - Capital Federal,4.0,Interno,,,3.0,9.0,23.0,23.0,,Pasco 400,8500
1.0,,1.0,Balvanera - Capital Federal,,,,,,,80.0,80.0,Loft,Tucuman Entre Lavalle Y Suipacha,13000
,,1.0,Villa Urquiza - Capital Federal,,,,2400.0,,,35.0,40.0,,Av. Triunvirato 3961,11000
1.0,,1.0,Monserrat - Capital Federal,,Contrafrente,,2100.0,,,60.0,60.0,Departamento,Tucumán 800,13000
1.0,45 años,1.0,Villa Luro - Capital Federal,,Frente,,,,,30.0,30.0,,Echenagucía 98,8000
1.0,,1.0,Villa Del Parque - Capital Federal,,Contrafrente,,2400.0,,8.0,32.0,35.0,Departamento,Bolivia 2900,9000
1.0,0 años,1.0,Boedo - Capital Federal,5.0,Frente,,1500.0,,5.0,33.0,36.0,Departamento,Castro Barros Al 1400,10500
1.0,0 años,1.0,Palermo - Capital Federal,,Contrafrente,,4500.0,,1.0,32.0,43.0,,Malabia Al 1900,16500
1.0,0 años,1.0,Retiro - Capital Federal,,Frente,,2500.0,,,40.0,40.0,,Marcelo T De Alvear Al 777 5 C,10000
1.0,40 años,1.0,Barrio Norte - Capital Federal,6.0,Frente,,2000.0,,10.0,34.0,34.0,Departamento,Rodriguez Peña Al 200,9200
2.0,0 años,1.0,Barrio Norte - Capital Federal,,,,1800.0,,,,,,Aguero Al 1200,14000
1.0,1 años,1.0,Santa Rita - Capital Federal,,Frente,,,6.0,9.0,41.0,41.0,,San Blas  2762,10000
1.0,30 años,1.0,Floresta - Capital Federal,5.0,,,2000.0,7.0,11.0,35.0,35.0,Departamento,Bacacay  3800 7°,8900
1.0,,1.0,Belgrano - Capital Federal,,Frente,,3000.0,,10.0,38.0,41.0,Departamento,Balbin R. Av. 2600,10000
1.0,,1.0,Villa Urquiza - Capital Federal,,Frente,,2400.0,,7.0,36.0,46.0,Semi piso,Galvan 2800,10500
1.0,4 años,1.0,Colegiales - Capital Federal,2.0,Frente,,,4.0,7.0,30.0,34.0,,Olleros 3500,9700
1.0,6 años,1.0,Almagro - Capital Federal,4.0,Frente,,,,8.0,35.0,30.0,,Carlos Gardel  3100,9500
1.0,,1.0,Caballito - Capital Federal,,,,,,,30.0,33.0,Departamento,Olaya 1000- Alq Monoambiente,9000
1.0,,,Barrio Norte - Capital Federal,,Frente,,2000.0,,,20.0,20.0,Departamento,Agüero 2800,8000
1.0,40 años,1.0,Belgrano - Capital Federal,,Lateral,,1100.0,,,30.0,30.0,,Migueletes Al 1600,8500
1.0,5 años,1.0,Parque Patricios - Capital Federal,,Lateral,,,,,30.0,30.0,Monoambiente,Pedro Echague 1700,7000
1.0,2 años,1.0,Liniers - Capital Federal,,Contrafrente,,900.0,6.0,,25.0,28.0,Departamento,Av. Rivadavia 10763,7000
1.0,50 años,1.0,Palermo - Capital Federal,,Interno,,1696.0,,,21.0,21.0,,Araoz 2873 5ºc ( French - Juncal),7700
1.0,0 años,1.0,Belgrano - Capital Federal,,Interno,,815.0,,,26.0,26.0,,Roosevelt Al 2900,8500
3.0,50 años,1.0,Villa Crespo - Capital Federal,,Frente,,5200.0,,,80.0,,,Corrientes 4923 4°l,14000
1.0,,1.0,Balvanera - Capital Federal,,,,,,,20.0,20.0,,Venezuela 3000,7000
1.0,8 años,1.0,Parque Chacabuco - Capital Federal,,Contrafrente,,1575.0,,,28.0,30.0,,Thorne 1132 1ºc  ( Zuviría - Av. Asamblea),7000
1.0,60 años,1.0,Congreso - Capital Federal,,Frente,,1200.0,2.0,15.0,194.0,194.0,Departamento,Hipolito Yrigoyen  1300,7500
1.0,,1.0,Villa Del Parque - Capital Federal,,Contrafrente,,1600.0,,,26.0,30.0,Departamento,Gral. José Gervasio Art 2900,7900
1.0,50 años,1.0,Agronomía - Capital Federal,,Contrafrente,,540.0,,,20.0,20.0,,Asuncion Al 2900,7000
1.0,4 años,1.0,Villa Pueyrredón - Capital Federal,3.0,Contrafrente,,2500.0,,7.0,36.0,39.0,Departamento,Carlos Antonio Lopez Al 3300,9000
1.0,2 años,1.0,San Cristóbal - Capital Federal,,Frente,,2651.0,,,33.0,36.0,,Av. Independencia 2588 3ºb (alberti - Saavedra),8500
1.0,2 años,1.0,Almagro - Capital Federal,,,,3600.0,,,34.0,34.0,,Pringles Al 400,11000
1.0,6 años,1.0,Belgrano - Capital Federal,,,,,,,26.0,26.0,Departamento,Ramon Freire Al 2600,10500
1.0,5 años,1.0,San Telmo - Capital Federal,,,,4000.0,,,33.0,33.0,,Quartier San Telmo,16000
1.0,0 años,1.0,San Nicolás - Capital Federal,,,,,,,,18.0,,Paraná Al 100,8000
1.0,50 años,1.0,Recoleta - Capital Federal,2.0,Lateral,,2500.0,,6.0,25.0,25.0,Departamento,Junin Al 1300,7900
1.0,25 años,1.0,Boedo - Capital Federal,3.0,Interno,,1280.0,,8.0,22.0,22.0,Departamento,Colombres Al 1300,7000
1.0,2 años,1.0,Belgrano - Capital Federal,,,,4000.0,,,27.0,34.0,Departamento,Ciudad De La Paz  Al 1900,11800
1.0,2 años,1.0,Paternal - Capital Federal,,Contrafrente,,3000.0,,,26.0,30.0,,Camarones Al 1454 9ºb ( Av. San Martín - Seguí),8800
,7 años,,Palermo Hollywood - Capital Federal,,,,3400.0,,,,,,Mono En Alquiler,11000
,10 años,1.0,Villa Luro - Capital Federal,,Contrafrente,,1400.0,,,22.0,,,Carrasco Al 700,7500
1.0,8 años,1.0,Palermo Soho - Capital Federal,,Frente,,1600.0,,,36.0,40.0,,Guatemala Al 5000,12500
1.0,8 años,1.0,Belgrano - Capital Federal,,Contrafrente,,7900.0,,1.0,37.0,38.0,,Soldado De La Independencia Al 1100 (lacroze Y Olleros),10000
1.0,0 años,1.0,Liniers - Capital Federal,,Contrafrente,,,5.0,,28.0,33.0,Departamento,Av. Rivadavia 10772,8000
1.0,35 años,1.0,Belgrano - Capital Federal,6.0,Lateral,,2200.0,,10.0,23.0,23.0,Departamento,Ciudad De La Paz Al 300,8000
1.0,10 años,1.0,Barrio Norte - Capital Federal,4.0,Contrafrente,,4300.0,3.0,,30.0,33.0,Monoambiente,Cabrera 3451,12000
,0 años,,Recoleta - Capital Federal,,,,,,,,,,Av Cordoba Y Junin,5000
1.0,0 años,1.0,Belgrano - Capital Federal,,Contrafrente,,3300.0,,1.0,34.0,37.0,,Santos Dumont Al 2400,14000
1.0,4 años,1.0,Villa Del Parque - Capital Federal,,Contrafrente,,2200.0,,,26.0,28.0,,Beiro Al 3300,9000
1.0,40 años,1.0,Caballito - Capital Federal,,,,1200.0,,,,,,Yerbal Al 800,9000
1.0,4 años,1.0,Caballito - Capital Federal,,Contrafrente,,2000.0,,,,32.0,,Av José María Moreno Al 800,11000
1.0,5 años,1.0,Villa Devoto - Capital Federal,,Frente,,,,,37.0,37.0,,Carlos Antonio Lopez Al 4300,9500
1.0,40 años,1.0,Paternal - Capital Federal,,Lateral,,1400.0,,,28.0,28.0,Monoambiente,Manuel R. Trelles 2199,8000
1.0,12 años,1.0,Palermo - Capital Federal,,Frente,,4685.0,,1.0,35.0,35.0,,Arce Entre Matienzo      Y Jorge Newbery,12000
1.0,0 años,1.0,Recoleta - Capital Federal,,,,3500.0,,,24.0,26.0,,Recoleta,10000
1.0,40 años,1.0,Villa Urquiza - Capital Federal,,Interno,,2200.0,,,35.0,35.0,,Alvarez Thomas Al 2700,8200
1.0,55 años,1.0,Colegiales - Capital Federal,,Interno,,2231.0,,8.0,27.0,27.0,,Cespedes Al 3500 Entre Giribone Y Av Alvarez Thomas,8500
1.0,12 años,1.0,Puerto Madero - Capital Federal,,Lateral,,5500.0,,,28.0,32.0,Monoambiente,Olga Cossettini 1600,16000
1.0,0 años,1.0,Boedo - Capital Federal,,Contrafrente,,,,,,34.0,,Independencia Al 4000,9500
1.0,12 años,1.0,Belgrano - Capital Federal,,Contrafrente,,2800.0,,,32.0,35.0,,Luis  Maria  Campos  Al 400,14000
1.0,2 años,1.0,Villa Del Parque - Capital Federal,,Frente,,3500.0,2.0,6.0,38.0,38.0,Departamento,Argerich  3053,10000
1.0,,1.0,Villa Urquiza - Capital Federal,,Contrafrente,,,,,40.0,43.0,Departamento,Miller 2300,12500
1.0,0 años,1.0,Caballito - Capital Federal,,,,2050.0,,,38.0,,,Valle Al 1300,12000
1.0,35 años,1.0,Núñez - Capital Federal,9.0,Contrafrente,,2100.0,,12.0,30.0,30.0,Departamento,Cabildo Al 4200,9200
1.0,10 años,1.0,Villa Del Parque - Capital Federal,3.0,Frente,,,,1.0,20.0,24.0,Monoambiente,Simbron 3018,10500
,,1.0,Caballito - Capital Federal,,,,,,,31.0,34.0,,Pedro Goyena 1606,10500
1.0,,1.0,Liniers - Capital Federal,,Frente,,1800.0,10.0,,33.0,35.0,Departamento,Cosquin 10,7000
1.0,2 años,1.0,Chacarita - Capital Federal,,Frente,,3700.0,,,24.0,28.0,,Av. Corrientes Al 6300,13500
1.0,0 años,1.0,San Telmo - Capital Federal,,Frente,,2000.0,,,26.0,30.0,,Av. Garay 635 5º B ( Chacabuco - Perú),10500
1.0,0 años,1.0,Almagro - Capital Federal,3.0,Contrafrente,,2100.0,,7.0,30.0,30.0,Departamento,Quito Al 3700,9000
1.0,10 años,1.0,Parque Avellaneda - Capital Federal,4.0,Contrafrente,,3800.0,,7.0,34.0,39.0,Departamento,Fernandez Al 200,7000
1.0,0 años,1.0,Caballito - Capital Federal,,Frente,,2200.0,,,32.0,37.0,,Av Avellaneda Al 1000,10500
1.0,2 años,1.0,Saavedra - Capital Federal,,Contrafrente,,4100.0,,1.0,41.0,47.0,,"Deheza Al 3100 - 4º Piso ""c""",11000
1.0,50 años,1.0,Barrio Norte - Capital Federal,2.0,Lateral,,2500.0,,6.0,25.0,25.0,Departamento,Junin Al 1300,7900
1.0,1 años,1.0,Flores - Capital Federal,,Contrafrente,,,,,36.0,36.0,,Granaderos Al 600,9800
1.0,1 años,1.0,Monte Castro - Capital Federal,1.0,Frente,,4655.0,6.0,6.0,30.0,456.0,Departamento,Nogoya 3815,10500
1.0,50 años,1.0,Barrio Norte - Capital Federal,4.0,Interno,,1200.0,5.0,9.0,26.0,26.0,Departamento,French 3000,12000
1.0,0 años,1.0,La Boca - Capital Federal,,Frente,,1200.0,,,37.0,42.0,,Brandsen Al 1100,10500
1.0,0 años,1.0,Parque Chacabuco - Capital Federal,,Frente,,2500.0,,,,,,Malvinas Argentinas Al 800,12000
1.0,0 años,1.0,San Telmo - Capital Federal,,Frente,,4100.0,,,32.0,32.0,,Peru Al 1100,16000
1.0,,1.0,Palermo - Capital Federal,,Frente,,2300.0,,,38.0,36.0,Departamento,Mario Bravo 1100,12000
1.0,40 años,1.0,Recoleta - Capital Federal,4.0,Frente,,3000.0,5.0,10.0,35.0,35.0,Monoambiente,Avenida Córdoba 873,9000
1.0,0 años,1.0,Palermo - Capital Federal,,Lateral,,4500.0,,3.0,38.0,45.0,,Malabia Al 1900,16000
1.0,6 años,1.0,Villa Crespo - Capital Federal,,Contrafrente,,1994.0,,,30.0,32.0,,Corrientes Al 6100,10000
1.0,,1.0,San Nicolás - Capital Federal,,,,2800.0,,,30.0,30.0,,Esmeralda 500,13000
1.0,20 años,1.0,Núñez - Capital Federal,,Contrafrente,,1290.0,,,35.0,35.0,Departamento,Ciudad De La Paz Al 3700,11500
2.0,50 años,1.0,San Nicolás - Capital Federal,,Frente,,3990.0,,10.0,53.0,66.0,,Maipú Al 300 Entre Av Corrientes Y Sarmiento,11000
,0 años,,Nueva Pompeya - Capital Federal,,,,,,,90.0,90.0,,Del Barco Centenera  Entre Chilavert Y Pasos Barros,20000
1.0,5 años,1.0,Belgrano - Capital Federal,,Frente,,3000.0,,,27.0,40.0,,Olazabal Al 3000,11000
1.0,5 años,1.0,Belgrano - Capital Federal,,Frente,,3000.0,,,27.0,40.0,,Olazabal Al 3000,11000
1.0,6 años,1.0,Villa Pueyrredón - Capital Federal,,Frente,,2050.0,,,32.0,36.0,,Vallejos Al 3200,9000
1.0,0 años,1.0,Belgrano - Capital Federal,,Frente,,3000.0,,,37.0,49.0,Departamento,Moldes Al 2800,18000
,45 años,1.0,Villa Devoto - Capital Federal,,Lateral,,800.0,,,24.0,24.0,,Ricardo Guitierrez Al 3700,7800
1.0,2 años,1.0,Belgrano - Capital Federal,,Contrafrente,,5000.0,,1.0,40.0,45.0,,Palpa Al 2468,14000
1.0,0 años,1.0,Belgrano - Capital Federal,2.0,Contrafrente,,3000.0,,4.0,37.0,49.0,Departamento,Moldes Al 2800,16000
1.0,10 años,1.0,Palermo Hollywood - Capital Federal,,Frente,,3400.0,,,,,,Dorrego Al 1600,11000
1.0,6 años,1.0,Floresta - Capital Federal,5.0,Frente,,2000.0,7.0,7.0,32.0,36.0,Departamento,Rafaela 3771,8500
1.0,1 años,1.0,Villa Devoto - Capital Federal,1.0,Frente,,4655.0,6.0,6.0,30.0,456.0,Departamento,Nogoya 3815,10500
1.0,38 años,,Núñez - Capital Federal,,Contrafrente,,2400.0,,1.0,30.0,30.0,,Juana Azurduy Al 2100,10500
1.0,0 años,1.0,Palermo Hollywood - Capital Federal,,,,6000.0,,,40.0,40.0,,Amenabar 50,23000
1.0,9 años,1.0,Belgrano - Capital Federal,,Contrafrente,,2500.0,,,33.0,,,Tomas Le Breton 4500,14000
