Ambientes,Antigüedad,Baños,Bodegas,Cocheras,Departamentos por piso,Disposición,Dormitorios,Expensas,Orientación,Piso (unidad),Pisos,Superficie cubierta,Superficie total,Tipo de departamento,address,neighborhood,price
2,,1,,,,Interno,1,1400,,,,38,38,Departamento,Av. Congreso 2100,Belgrano - Capital Federal,15000
1,,1,,,,Frente,1,2800,,,,45,55,Departamento,Av. Del Libertador 6000,Belgrano - Capital Federal,24000
2,0 años,1,,1,,Frente,1,5800,Este,,,49,59,,"Mirastar, Guatemala 5600 - 303",Palermo Hollywood - Capital Federal,27000
2,25 años,1,,,,Lateral,1,1800,Este,,,45,45,,Echeverria Al 900,Belgrano - Capital Federal,20000
2,60 años,,,,,Lateral,1,1700,,,,36,36,Departamento,Entre Rios 400,Monserrat - Capital Federal,10000
2,17 años,1,,1,,Contrafrente,1,5000,Este,,,54,64,,Arce 900,Las Cañitas - Capital Federal,25000
2,7 años,1,,1,3,Frente,1,5000,,1,8,42,58,Departamento,San Luis 3200,Balvanera - Capital Federal,16000
1,4 años,1,1,,4,Frente,1,2000,Este,1,1,28,28,Monoambiente,Av. Cordoba 6561,Chacarita - Capital Federal,16500
1,,1,,,,Frente,1,11000,,,,60,60,Departamento,"Corrientes, Avda. 800",Monserrat - Capital Federal,18000
1,0 años,1,,,,Frente,1,,,,,48,,,Olga Cossettini 1600,Puerto Madero - Capital Federal,1300
2,,1,,,,Frente,1,,,,,46,66,Departamento,Naon 2400,Belgrano - Capital Federal,25000
2,1 años,1,,,,,1,,,,,50,50,Departamento,Marcelo T De Alvear Al 1600,Recoleta - Capital Federal,1900
2,0 años,1,,,,Frente,1,,Este,,,60,65,,Lola Mora Al 400,Puerto Madero - Capital Federal,41000
2,38 años,1,,,,,1,3500,,,,52,52,,Parana Al 800,Barrio Norte - Capital Federal,13000
2,50 años,1,,,,Interno,1,,Norte,,,24,27,,Virrey Cevallos Al 600,Monserrat - Capital Federal,12000
1,5 años,1,,,,Frente,1,,,,,55,,,Juncal 800,Retiro - Capital Federal,1650
2,,1,,,,Interno,1,,,,8,33,33,Departamento,Bulnes 700,Almagro - Capital Federal,20000
2,,1,,,,Interno,1,,,,8,33,33,Departamento,Bulnes 700,Almagro - Capital Federal,20000
3,,1,,1,,Frente,1,,,,,76,80,Departamento,Paraguay 4700,Palermo - Capital Federal,3500
,1 años,1,,,,Contrafrente,1,,,,,30,30,,"Migueletes 500, Piso Pb",Las Cañitas - Capital Federal,19500
2,0 años,1,,,,,1,,,,,36,36,Departamento,Sarmiento Al 600,Retiro - Capital Federal,22000
2,,1,,,,Frente,1,,,,,40,60,Departamento,Arevalo 1700,Palermo - Capital Federal,1400
1,,1,,,,Lateral,1,1800,,,8,28,28,Departamento,Arenales 2400,Barrio Norte - Capital Federal,11000
2,0 años,1,,,,Frente,1,,,,9,,,,Beruti 3700,Recoleta - Capital Federal,15000
2,68 años,,,,,Frente,1,9000,,,,80,80,Departamento,Vicente Lopez Al 1800,Recoleta - Capital Federal,1150
2,,1,,,3,,1,,,10,10,40,40,,Alberdi 1686,Caballito - Capital Federal,12000
2,,1,,,,Interno,1,3700,,2,,38,38,Departamento,Viamonte 2200,Barrio Norte - Capital Federal,11900
2,4 años,1,,,4,Frente,1,3800,Norte,3,6,45,47,Departamento,Helguera 4500,Villa Pueyrredón - Capital Federal,14000
2,,1,,1,,,1,5436,,,,45,66,Departamento,Av. Gaona 1200,Caballito - Capital Federal,19500
2,,1,,1,,,1,9000,,,,48,65,Departamento,Azucena Maizani 351,Puerto Madero - Capital Federal,27000
2,22 años,1,,,5,Lateral,1,1400,,,12,37,37,Departamento,Bacacay  Al 4100,Floresta - Capital Federal,11000
2,55 años,1,,,,Interno,1,2330,Sur,4,,36,36,Departamento,Moreno  2500,Balvanera - Capital Federal,10000
2,35 años,1,,,,,1,2000,,,10,50,50,Departamento,Güemes Al 4100,Palermo - Capital Federal,14000
1,0 años,1,,1,4,Frente,1,2200,,,14,36,40,Departamento,Corrientes Al 3400,Once - Capital Federal,12000
2,,2,,,,Frente,1,3100,,,7,33,37,Dúplex,Arce 400,Belgrano - Capital Federal,25000
2,1 años,2,,,5,Contrafrente,1,2700,Este,,9,52,48,Dúplex,Angel J Carranza 2300,Palermo - Capital Federal,18000
2,50 años,1,,,,Contrafrente,1,4200,Norte,,1,35,,,Ayacucho Al 2000,Recoleta - Capital Federal,16500
2,8 años,1,,,,Lateral,1,5200,,,1,53,58,,José Antonio Cabrera Al 3400,Palermo Viejo - Capital Federal,17000
2,10 años,2,,,,Contrafrente,1,12000,Oeste,1,,1,1,Departamento,Olga Cossettini 1691,Puerto Madero - Capital Federal,40000
3,15 años,1,,1,,Contrafrente,1,7200,Este,,1,100,110,,Libertador Al 5500,Belgrano - Capital Federal,2500
2,4 años,1,,,4,Frente,1,3800,Norte,3,6,45,47,Departamento,Helguera 4500,Villa Pueyrredón - Capital Federal,14000
1,0 años,1,,,,,1,1600,,,,33,37,Departamento,Amenabar Al 2800,Belgrano - Capital Federal,16000
2,6 años,1,,1,,Frente,1,10000,Este,,9,60,74,,Peña Entre Pueyrredon Y Laprida,Recoleta - Capital Federal,24900
3,0 años,1,,1,,,1,,Este,,,,51,,Esmeralda Al 800,Capital Federal,1200
2,,1,,,,,1,,,,,31,31,Departamento,Solis 330,Congreso - Capital Federal,12000
2,5 años,2,,1,,Contrafrente,1,10000,Norte,,1,120,128,,Macacha Guemes Al 300,Puerto Madero - Capital Federal,3300
2,45 años,1,,1,,Frente,1,,,,,63,68,,Av Quintana Al 200,Recoleta - Capital Federal,1300
,0 años,1,,,,,1,,,,,40,40,,"José Hernández 2458, Piso 3 C",Belgrano - Capital Federal,20000
2,0 años,1,,1,,Frente,1,16000,Este,,1,95,110,,Petrona Eyle Al 300,Puerto Madero - Capital Federal,3000
1,0 años,1,,,,Frente,1,4500,Este,,,30,36,,Mirabilia Belgrano- Studios  203,Belgrano C - Capital Federal,16000
2,0 años,1,,,,,1,,,,,,43,,Lautaro Al 900,Flores - Capital Federal,15500
2,,1,,,,Frente,1,,,,,48,55,Departamento,Arenales 2300,Barrio Norte - Capital Federal,1600
1,15 años,1,,,,Contrafrente,1,2000,,,,32,34,Departamento,Libertad Al 1000,Barrio Norte - Capital Federal,15000
,0 años,1,,,,Frente,1,2300,,,,32,32,,"Ortiz De Ocampo 2520, Piso 6º Depto ""c""",Barrio Norte - Capital Federal,15000
,0 años,1,,,,Frente,1,2300,,,,32,32,,"Ortiz De Ocampo 2520, Piso 6º Depto ""c""",Palermo Chico - Capital Federal,15000
1,8 años,1,,,4,Frente,1,1500,Norte,,7,36,36,Departamento,Mendez De Andes 1439,Caballito - Capital Federal,11000
,0 años,1,,,,,1,,,,,40,40,,"José Hernández 2458, Piso 3 C",Belgrano - Capital Federal,20000
2,8 años,1,,,,Contrafrente,1,2230,Oeste,,,37,40,,Balbin Ricardo Dr. A 3400,Núñez - Capital Federal,13500
2,,1,,,,Frente,1,2400,,,18,43,48,Departamento,Donado 800,Capital Federal,13000
2,0 años,1,,,2,Frente,1,,,,4,43,119,Departamento,Freire Al 2200,Belgrano - Capital Federal,20000
1,19 años,1,,,4,Contrafrente,1,3650,,13,21,33,35,Departamento,Congreso 2346,Belgrano - Capital Federal,17000
2,45 años,1,,,,Contrafrente,1,1400,,4,4,40,40,Departamento,Balbin 3100,Coghlan - Capital Federal,12600
2,,1,,,,Contrafrente,1,2100,,,20,30,30,Departamento,Inclan 4200,Boedo - Capital Federal,8500
2,45 años,1,,,2,Frente,1,3500,,,10,50,50,Departamento,Coronel Diaz Al 1500,Palermo - Capital Federal,14500
2,20 años,1,,,8,Contrafrente,1,8000,,,17,52,60,Departamento,Libertador Al 5600,Belgrano - Capital Federal,20000
1,2 años,1,,,12,Frente,1,1200,,,,35,38,Monoambiente,Avenida Belgrano 1345,Monserrat - Capital Federal,90000
2,5 años,2,,,,Contrafrente,1,,,,,51,56,Departamento,Parana Al 400,Retiro - Capital Federal,15500
1,0 años,1,,1,,,1,1500,,,,38,38,Departamento,Marco Sastre Al 4400,Monte Castro - Capital Federal,12800
1,2 años,1,,,12,Frente,1,1200,,,,35,38,Monoambiente,Avenida Belgrano 1345,Monserrat - Capital Federal,90000
2,45 años,1,,,5,Lateral,1,2400,Este,8,5,33,33,Departamento,Aguilar 2499,Colegiales - Capital Federal,10000
2,9 años,1,,1,,Contrafrente,1,22121,Norte,,1,130,130,,Macacha Guemes 300,Puerto Madero - Capital Federal,2200
2,12 años,1,,,,Frente,1,,,,21,45,47,,Bernardo De Irigoyen Al 200,Monserrat - Capital Federal,23000
2,,1,,,,,1,1700,,,,35,35,Departamento,Sanabria 4543,Villa Devoto - Capital Federal,11300
2,25 años,1,,,,Frente,1,3700,,,,45,45,Departamento,Tucuman Al 1400,Retiro - Capital Federal,16000
2,51 años,1,,,,,1,,,,,68,68,Departamento,Av. Santa Fe 1500,Barrio Norte - Capital Federal,1200
,,1,,,,Contrafrente,1,,,,,48,53,,Humboldt  1400,Palermo Hollywood - Capital Federal,20000
2,0 años,1,,,,,1,,,,,40,40,Departamento,San Luis Al 3200,Barrio Norte - Capital Federal,22000
2,9 años,1,,1,,Contrafrente,1,19083,Norte,,1,100,108,,Macacha Guemes 300,Puerto Madero - Capital Federal,2000
2,0 años,1,,,,Frente,1,4600,,,,116,116,Departamento,Leandro Alem Al 400,San Nicolás - Capital Federal,35000
,8 años,2,,1,,Contrafrente,1,,Este,,,66,66,,"Juana Manzo  590, Piso 30",Puerto Madero - Capital Federal,2000
1,4 años,1,,,,Contrafrente,1,,Sur,,,41,43,,Ravignani Al 1300,Palermo - Capital Federal,700
,1 años,1,,,,Contrafrente,1,,,,,30,30,,"Migueletes 500, Piso Pb",Las Cañitas - Capital Federal,19000
1,4 años,1,,,,Contrafrente,1,,Sur,,,41,43,,Ravignani Al 1300,Palermo - Capital Federal,700
2,0 años,1,,,2,Frente,1,3000,,,8,48,55,Departamento,Maza Al 100,Almagro - Capital Federal,14000
1,,1,,,,Contrafrente,1,,Sur,,,50,82,,Humberto 1º Al 300,San Telmo - Capital Federal,900
2,55 años,1,,,4,Contrafrente,1,3000,,,11,38,38,Departamento,Arenales Al 1700,Recoleta - Capital Federal,14000
2,18 años,1,,1,4,Frente,1,2200,Oeste,,3,36,36,Departamento,Pasco 1200,San Cristóbal - Capital Federal,13000
2,15 años,1,,1,,,1,18000,,,1,100,110,,Libertador Al 5500,Belgrano - Capital Federal,2500
2,55 años,1,,,,Interno,1,2330,Sur,4,,36,36,Departamento,Moreno 2500,Congreso - Capital Federal,10000
2,,1,,,,,1,2500,,,1,42,42,Departamento,Llerena  2800,Parque Chas - Capital Federal,13000
2,,2,,,,,1,,,2,1,50,45,Departamento,Vallejos  4700 Pb,Villa Devoto - Capital Federal,15000
2,4 años,1,,1,5,Frente,1,,,1,9,40,45,Departamento,Av. Nazca 1719,Villa Del Parque - Capital Federal,95000
2,2 años,1,,,,Lateral,1,4500,Este,,8,40,,,Cachimayo Al 300,Caballito - Capital Federal,14000
2,0 años,1,,1,,Frente,1,,,,1,100,118,,La Porteña Ii - Juana Manso 1300,Puerto Madero - Capital Federal,2500
2,38 años,1,,,,,1,2200,Sur,,8,38,38,,Puan Al 700,Caballito - Capital Federal,8900
2,2 años,1,,,,Frente,1,4400,,,,55,56,,Esmeralda Al 900,Retiro - Capital Federal,30000
2,18 años,1,,1,4,Frente,1,2200,Oeste,,3,36,36,Departamento,Pasco 1200,Balvanera - Capital Federal,13000
1,19 años,1,,,4,Contrafrente,1,3650,,13,21,33,35,Departamento,Congreso 2346,Núñez - Capital Federal,17000
2,0 años,1,,,,,1,3000,,,,41,45,Departamento,Ayacucho Al 200,Congreso - Capital Federal,14500
2,30 años,1,,,,Frente,1,,,,,45,48,,Marcelo T De Alvear Al 900,Capital Federal,19500
2,2 años,1,,,,Frente,1,4400,,,,55,56,,Esmeralda Al 900,Retiro - Capital Federal,30000
1,6 años,1,,,5,Contrafrente,1,2400,Norte,2,8,36,44,Departamento,Pichincha 700,San Cristóbal - Capital Federal,12000
2,0 años,,,1,,Contrafrente,1,,,,,100,108,Departamento,Guemes Macacha Al 300,Puerto Madero - Capital Federal,1600
2,4 años,1,,,4,Frente,1,3800,Norte,3,6,45,47,Departamento,Helguera 4500,Villa Pueyrredón - Capital Federal,14000
2,0 años,1,,,5,Lateral,1,2000,,,7,41,41,Departamento,Humboldt  Al 2200,Palermo Hollywood - Capital Federal,12000
1,33 años,1,,,4,Contrafrente,1,,,,8,25,30,Departamento,Paraguay Al 3400,Palermo - Capital Federal,22000
2,0 años,,,1,,Frente,1,,,,,130,130,Departamento,Guemes Macacha Al 300,Puerto Madero - Capital Federal,2200
2,,1,,,,,1,,,,,39,42,,La Rioja 400,Balvanera - Capital Federal,15000
,6 años,1,,,,Contrafrente,1,4000,Este,,1,38,40,,Roosveltd Al 2800,Belgrano C - Capital Federal,11500
2,50 años,1,,,,Interno,1,,Norte,,,23,30,,Virrey Cevallos Al 600,Monserrat - Capital Federal,13500
2,0 años,1,,,,,1,1400,,,,45,45,Departamento,Mendoza  Al 5200,Villa Urquiza - Capital Federal,13000
1,6 años,1,,,5,Contrafrente,1,2400,Norte,2,8,36,44,Departamento,Pichincha 700,Balvanera - Capital Federal,12000
2,,1,,,,,1,20,,,,41,44,,Boulevard Charcas 3551,Palermo - Capital Federal,750
2,0 años,1,,,4,Frente,1,4000,Este,5,9,50,54,Departamento,Scalabrini Ortiz (esq. Cabrera) 1295,Palermo - Capital Federal,19000
2,25 años,1,,,,,1,2500,,,10,40,43,,Av. Juan Bautista Alberdi Al 1200,Caballito - Capital Federal,10500
2,40 años,1,,,4,Lateral,1,600,Este,4,10,37,37,Departamento,Lavalle 2191,Once - Capital Federal,18000
2,40 años,1,,,,Lateral,1,2200,,1,6,37,37,Departamento,Boyaca 1648,Villa Gral. Mitre - Capital Federal,9600
1,6 años,1,,,3,Contrafrente,1,3000,,,8,40,44,Departamento,Corrientes Al 2900,Once - Capital Federal,11000
2,40 años,1,,,,Lateral,1,1980,Oeste,,,36,39,,Marcelo T. De Alvear Al 1600,Barrio Norte - Capital Federal,12000
2,,1,,1,,Lateral,1,1800,,,,38,38,Departamento,Av. Carabobo 200,Flores - Capital Federal,95000
2,,1,,,,,1,,,,,38,38,Departamento,Rivadavia 5500,Caballito - Capital Federal,12000
2,7 años,1,,1,,Frente,1,6200,Norte,,1,74,78,,Juana Manso Al 100,Puerto Madero - Capital Federal,2700
2,30 años,1,,,,,1,2000,,,,,,,Peña Entre Coronel Diaz Y Billinghurst,Capital Federal,12000
2,,2,,1,,Contrafrente,1,,,,,120,128,Departamento,Macacha Gã¿emes 300,Puerto Madero - Capital Federal,3300
1,,1,,,,Frente,1,,,,,29,30,Departamento,Av. Congreso 4800,Villa Urquiza - Capital Federal,12000
2,,1,,,,,1,,,,,46,46,,Av. Libertador 6022,Belgrano - Capital Federal,20000
2,4 años,1,,,4,Frente,1,3500,Norte,3,6,47,47,Departamento,Helguera  4500,Villa Urquiza - Capital Federal,14000
1,0 años,1,,,6,Frente,1,4668,,,,32,32,Departamento,Tucuman Al 500,Retiro - Capital Federal,9500
2,55 años,1,,,4,Contrafrente,1,3500,,3,7,38,38,Departamento,Posadas 1500,Barrio Norte - Capital Federal,16900
2,,1,,,,,1,,,,,41,41,Departamento,Nazarre 3100,Villa Del Parque - Capital Federal,11000
2,0 años,1,,,,Contrafrente,1,2800,,,,40,40,Departamento,Peron  Al 2400,Once - Capital Federal,12000
2,,1,,,,,1,,,,,33,43,,Av. Rivadavia 10700,Liniers - Capital Federal,93000
2,,1,,1,,Frente,1,2870,,,7,45,51,Departamento,Catamarca 900,San Cristóbal - Capital Federal,15000
2,40 años,1,,,,Lateral,1,2200,,1,6,37,37,Departamento,Boyaca 1648,Paternal - Capital Federal,9600
1,,1,,,,Frente,1,,,,,33,33,Departamento,Pilar 800,Villa Luro - Capital Federal,10500
1,0 años,1,,1,,,1,3600,,,,35,40,Departamento,Ayacucho Al 500,Retiro - Capital Federal,12000
2,0 años,1,,1,,Frente,1,16000,Este,,1,95,110,,Petrona Eyle 330,Puerto Madero - Capital Federal,3500
1,6 años,1,,,5,Contrafrente,1,2400,Norte,2,8,36,44,Departamento,Pichincha 700,Congreso - Capital Federal,12000
2,,1,,1,,,1,,,,,43,43,Departamento,Avalos 1300,Villa Urquiza - Capital Federal,13900
2,,1,,,,,1,,,,,45,62,Departamento,Pacheco De Melo 2000,Recoleta - Capital Federal,30000
2,50 años,1,,,,Interno,1,,Norte,,,31,40,,Virrey Cevallos Al 600,Monserrat - Capital Federal,13500
2,50 años,1,,,,Interno,1,,Norte,,,43,52,,Virrey Cevallos Al 600,Monserrat - Capital Federal,16000
1,,1,,1,,,1,,,,,40,,,Chilavert 5684 Pa 1,Mataderos - Capital Federal,10500
2,,1,,,,Lateral,1,3000,,,9,38,46,Departamento,Estado De Israel 4500,Villa Crespo - Capital Federal,11000
2,,2,,,,,1,,,,,45,60,,Juramento 5050,Villa Urquiza - Capital Federal,14500
2,,1,,,,Frente,1,2900,Oeste,,,45,45,,Esmeralda Al 300,San Nicolás - Capital Federal,19000
2,,1,,,,Contrafrente,1,2000,,,,55,104,Departamento,Sarmiento 2900,Once - Capital Federal,15000
2,5 años,1,,,,Contrafrente,1,,,,,56,56,Departamento,Parana Al 400,San Nicolás - Capital Federal,15500
2,3 años,1,,1,,Frente,1,19440,,,1,108,108,,Macacha Güemes Al 300 Madero Center,Puerto Madero - Capital Federal,2000
2,,1,,,,Frente,1,1800,,,,48,48,Departamento,Paraguay 500,Retiro - Capital Federal,89900
2,55 años,1,,,4,Contrafrente,1,3500,,3,7,38,38,Departamento,Posadas 1500,Recoleta - Capital Federal,16900
2,5 años,1,,,,Contrafrente,1,,,,,56,56,Departamento,Parana Al 400,Retiro - Capital Federal,15500
2,,1,,,,Frente,1,1200,,,4,48,54,Semi piso,Avenida Rivadavia 10200,Villa Luro - Capital Federal,12500
2,4 años,1,,,4,Frente,1,3500,Norte,3,6,47,47,Departamento,Helguera 4500,Villa Urquiza - Capital Federal,14000
1,,1,,,,,1,,,,,41,41,Departamento,Amenabar 2879 - Piso 6 - Belgrano,Belgrano - Capital Federal,16000
2,0 años,1,,,,Frente,1,,,,9,,,,Beruti 3700,Recoleta - Capital Federal,14500
2,18 años,1,,1,,Frente,1,6670,,,35,60,67,Departamento,Bulnes 2700,Palermo - Capital Federal,1500
2,,1,,,,,1,,,,,36,36,Departamento,Av. Córdoba 3000,Barrio Norte - Capital Federal,12000
2,,1,,,,Lateral,1,3200,,,8,45,55,Departamento,Padilla 400,Villa Crespo - Capital Federal,14000
2,0 años,,,1,,Frente,1,22121,,,8,119,130,Departamento,Guemes Macacha Al 300,Puerto Madero - Capital Federal,2200
1,,1,,,,Contrafrente,1,3888,,,6,42,42,Departamento,Pareja 3300,Villa Devoto - Capital Federal,9500
2,,1,,,,,1,,,,,56,58,Departamento,3200,Parque Patricios - Capital Federal,17000
2,50 años,1,,,,Interno,1,,Norte,,,19,27,,Virrey Cevallos Al 600,Monserrat - Capital Federal,12000
2,,1,,1,,,1,,,,,45,74,,Murguiondo 1544,Mataderos - Capital Federal,16000
1,20 años,1,,,2,Frente,1,1800,,1,,25,25,Departamento,Carlos Calvo 1883,San Cristóbal - Capital Federal,67000
2,0 años,1,,,,Frente,1,,,,9,,,,Beruti 3700,Recoleta - Capital Federal,16500
2,25 años,1,,,6,Contrafrente,1,2500,,,14,38,41,Departamento,Sarmiento Al 3300,Once - Capital Federal,12500
1,15 años,1,,,3,Lateral,1,3200,Sur,5,7,30,30,Departamento,Salta  500,Monserrat - Capital Federal,10000
2,,1,,,,Contrafrente,1,1900,,,5,48,48,Departamento,Lisandro De La Torre 500,Liniers - Capital Federal,13000
2,19 años,1,,,,,1,,,,,50,50,Departamento,Juncal Al 4500,Palermo - Capital Federal,20000
1,3 años,2,,1,,,1,6000,,,,47,47,Departamento,Av. Luis María Campos 500,Las Cañitas - Capital Federal,205000
1,,1,,,,Interno,1,1600,,,7,25,25,Departamento,Parana 500,Capital Federal,6500
2,,1,,1,,,1,,,,,77,85,,Tronador  3400,Coghlan - Capital Federal,35000
,8 años,2,,1,,Frente,1,,Norte,,,63,66,,"Juana Manzo 590, Piso 28",Puerto Madero - Capital Federal,2000
2,0 años,1,,,,Interno,1,19083,,,8,100,109,Departamento,Guemes Macacha Al 300,Puerto Madero - Capital Federal,2000
,8 años,2,,1,,Frente,1,,Norte,,,63,66,,"Juana Manzo 590, Piso 28",Puerto Madero - Capital Federal,2000
2,,1,,,,Frente,1,,,,,,,Departamento,Pasteur 500,Once - Capital Federal,12000
2,,1,,,,Frente,1,4700,,,29,37,42,Departamento,Paraguay 2300,Barrio Norte - Capital Federal,14000
2,2 años,1,,,,,1,,,,,33,106,Departamento,Echeverria 4200,Villa Urquiza - Capital Federal,21000
1,,1,,,,Contrafrente,1,2500,,,8,36,39,Departamento,Gascon 800,Almagro - Capital Federal,12000
2,0 años,1,,,,Frente,1,,,,,45,54,Departamento,Av San Martín Al 2100,Paternal - Capital Federal,16000
2,,1,,,,,1,,,,,35,38,Departamento,4400,Palermo - Capital Federal,14000
1,,1,,,,Frente,1,,,,,20,23,,Av Corrientes 1900,Villa Lugano - Capital Federal,11000
2,,1,,,,,1,5000,,,,40,40,Departamento,2400,Núñez - Capital Federal,20000
1,,1,,1,,,1,,,,,33,,,Chilavert 5684 Pa 2,Mataderos - Capital Federal,9500
1,,1,,,,Frente,1,,,,,20,23,,Av Corrientes 1900,Boedo - Capital Federal,11000
2,10 años,1,,,,Contrafrente,1,1800,,,,45,,,Boyaca Al 800,Caballito - Capital Federal,11300
1,,1,,,,Contrafrente,1,,,,,25,25,Departamento,Mexico 1851,Congreso - Capital Federal,8000
1,0 años,1,,,,Frente,1,2800,,,,31,31,Departamento,Pasaje Del Signo Al 4000,Palermo Viejo - Capital Federal,11000
2,1 años,1,,,,,1,50,,,,39,45,Departamento,Arregui Y Lope De Vega,Villa Real - Capital Federal,13950
2,,1,,1,,,1,,,,,40,40,Departamento,Amenabar 80,Palermo - Capital Federal,21000
1,,1,,,,Frente,1,,,,,20,23,,Av Corrientes 1900,Once - Capital Federal,11000
1,0 años,1,,,,,1,,,,,,38,,Bernardo De Irigoyen Al 200,Monserrat - Capital Federal,20000
2,,1,,,,Frente,1,,,,,48,48,Departamento,"Olaguer Y Feliu, Virrey 2500",Colegiales - Capital Federal,15000
2,,1,,1,,,1,,,,,40,40,Departamento,Amenabar 80,Palermo - Capital Federal,21000
2,,2,,1,,,1,,,,,85,85,,Azucena Villaflor 500,Puerto Madero - Capital Federal,2500
1,20 años,1,,,,Contrafrente,1,4500,,,,42,42,Departamento,Castañeda  1800,Belgrano - Capital Federal,13500
1,0 años,1,,,6,Frente,1,4668,,,,32,32,Departamento,Tucuman Al 500,Retiro - Capital Federal,9500
2,,1,,,,,1,,,,,45,45,,Bucarelli  2236,Villa Urquiza - Capital Federal,14000
2,,1,,,,,1,,,,,30,30,Departamento,Monroe 5674,Villa Urquiza - Capital Federal,10000
2,,1,,,,,1,,,,,4925,5725,,White 5,Villa Luro - Capital Federal,12000
2,,2,,1,,,1,,,,,67,67,,Juana Manso 500,Puerto Madero - Capital Federal,2600
2,10 años,1,,,,,1,2700,,,1,30,30,Semi piso,Pumacahua  300,Flores - Capital Federal,9500
2,50 años,1,,,4,Contrafrente,1,2300,,7,7,35,35,Departamento,Charlone 600,Chacarita - Capital Federal,11000
1,5 años,1,,,,Frente,1,3000,,,,44,44,Departamento,Jujuy 800,San Cristóbal - Capital Federal,12000
2,,1,,,,Frente,1,2500,,,,34,36,Departamento,Bulnes 1600,Palermo - Capital Federal,14000
2,,1,,,,,1,,,,,40,40,,Camargo 1200,Villa Crespo - Capital Federal,12000
2,45 años,1,,,,Contrafrente,1,,,,,45,45,Departamento,Las Heras 2126,Recoleta - Capital Federal,14500
2,45 años,1,,,3,Frente,1,4008,,5,6,45,52,Departamento,Caracas 1700,Flores - Capital Federal,9500
2,12 años,1,,,,Frente,1,,,,21,45,47,,Bernardo De Irigoyen Al 200,Monserrat - Capital Federal,23000
2,,1,,,,,1,2220,,,,43,43,Departamento,Virrey De Pino 1500,Belgrano R - Capital Federal,13000
2,,1,,1,,Contrafrente,1,6000,,,,40,40,Departamento,Amenabar 100,Palermo - Capital Federal,21500
1,7 años,1,,,,Contrafrente,1,3000,,,,47,47,Monoambiente,Jose Antonio Cabrera 5600,Palermo Hollywood - Capital Federal,13500
2,45 años,1,,,3,Frente,1,2500,Oeste,2,7,43,47,Departamento,Bogota 2191,Flores - Capital Federal,13000
2,7 años,1,,1,,,1,3300,,,,54,54,Departamento,Miller 2300,Villa Urquiza - Capital Federal,16000
2,49 años,1,,,,,1,,,,,66,66,Departamento,Rodriguez Peña Y Sarmiento,San Nicolás - Capital Federal,15000
1,,1,,,,,1,,,,,30,30,Departamento,Boyaca 400,Caballito - Capital Federal,14500
2,55 años,1,,,4,Contrafrente,1,3500,,3,7,38,38,Departamento,Posadas 1500,Recoleta - Capital Federal,16900
2,,1,,,,Lateral,1,3400,,,2,39,40,Departamento,Av. Jujuy 400,Once - Capital Federal,11500
2,,1,,,,Contrafrente,1,2700,,,8,39,41,Departamento,San Juan Avda 1900,San Cristóbal - Capital Federal,12000
1,,1,,1,,Frente,1,,,,8,38,38,Departamento,"Carabelas, Pje. 200",Monserrat - Capital Federal,9000
2,,1,,1,,,1,,,,,40,40,Departamento,Amenabar 80,Palermo - Capital Federal,21000
2,,1,,,,Lateral,1,1650,,,10,40,40,Departamento,"Acuña De Figueroa, Fco. 700",Almagro - Capital Federal,12000
2,,1,,,,,1,3150,,,,40,40,Departamento,Zapiola Y Mendoza,Belgrano - Capital Federal,14000
1,11 años,1,,,,,1,4,,,,45,60,Departamento,Mansilla Al 4041,Barrio Norte - Capital Federal,17000
2,,1,,,,,1,,,,,64,64,Departamento,Av Del Libertador 5600,Belgrano - Capital Federal,20000
2,,1,,,,,1,5500,,,,53,65,Departamento,Holmberg 2700,Villa Urquiza - Capital Federal,23000
2,,1,,1,,,1,4700,,,,40,40,Departamento,Amenabar 80,Palermo - Capital Federal,21000
,0 años,,,,,Frente,1,,Norte,,,100,50,,Av. Leandro N. Alem Al 1000,Recoleta - Capital Federal,850
1,,1,,,,,1,,,,,45,45,Departamento,Ancon 5300,Las Cañitas - Capital Federal,14500
2,40 años,1,,,,Frente,1,,,,,37,40,Departamento,Vuelta De Obligado 2700,Núñez - Capital Federal,13500
2,35 años,1,,,4,Frente,1,1441,Norte,1,7,44,48,Departamento,Manuel A. Rodriguez 1700,Villa Crespo - Capital Federal,12000
2,,1,,,,,1,,,,,42,45,,Migueletes 1800,Belgrano Chico - Capital Federal,18500
2,20 años,,,,,Frente,1,3000,Oeste,,14,40,40,Departamento,Santa Fe Av. 5355,Palermo - Capital Federal,19500
1,,1,,,,Contrafrente,1,2010,,,11,30,30,Departamento,"Diaz Velez, Avda. 3600",Almagro - Capital Federal,9000
2,,1,,,,Lateral,1,3800,,,16,,,Departamento,Malabia 2100,Palermo - Capital Federal,11000
2,10 años,1,,1,1,Frente,1,4800,,1,3,56,9577,Departamento,Roque Pérez 4200,Saavedra - Capital Federal,19600
1,,1,,,,Contrafrente,1,1476,,,10,,,Departamento,Guemes 3000,Barrio Norte - Capital Federal,10000
2,,1,,,,Contrafrente,1,3000,,,10,48,48,Departamento,Paraguay 800,Retiro - Capital Federal,17000
2,,2,,1,,,1,,,,,57,60,,Juana Azurduy  2580,Núñez - Capital Federal,24000
2,6 años,1,,,2,Contrafrente,1,,Sur,,,47,47,Departamento,Juan Bautista Alberdi 140,Caballito - Capital Federal,18000
